co_code,name,symbol,scripcode
76479,"Bajel Projects Ltd",BAJEL,544042
76484,"Borosil Scientific Ltd",BOROSCI,544184
76486,"Krishna Defence & Allied Industries Ltd",KRISHNADEF,535444
76493,"Swaraj Suiting Ltd",SWARAJ,535438
76494,"Ameya Precision Engineers Ltd",AMEYA,535470
76517,"Mirae Asset Nifty Midcap 150 ETF",MIDCAPETF,543481
76538,"Evoq Remedies Ltd",NULL,543500
76547,"Bhatia Colour Chem Ltd",NULL,543497
76560,"Motilal Oswal S&P BSE Low Volatility ETF",MOLOWVOL,543501
76562,"Vidli Restaurants Ltd Partly Paidup",NULL,890163
76563,"Suraj Estate Developers Ltd",SURAJEST,544054
76568,"Virtuoso Optoelectronics Ltd",NULL,543597
76593,"ICICI Prudential Nifty 5 Yr Benchmark G-Sec ETF",GSEC5IETF,543480
76601,"Tata Nifty India Digital ETF",TNIDETF,535445
76602,"Sunrise Efficient Marketing Ltd",NULL,543515
76611,"Rachana Infrastructure Ltd",RILINFRA,535451
76613,"SKP Bearing Industries Ltd",SKP,535454
76614,"Kotak Nifty 100 Low Vol 30 ETF",LOWVOL1,535440
76621,"DRS Cargo Movers Ltd",DRSCARGO,76621
76630,"Mukka Proteins Ltd",MUKKA,544135
76643,"Fone4 Communications (India) Ltd",NULL,543521
76650,"HMA Agro Industries Ltd",HMAAGRO,543929
76651,"Goel Food Products Ltd",NULL,543538
76652,"Wardwizard Innovations & Mobility Ltd PartlyPaidup",NULL,890164
76654,"Pearl Green Clubs and Resorts Ltd",NULL,543540
76659,"Mangalam Worldwide Ltd",MWL,535453
76660,"Tilak Ventures Ltd Partly Paidup",NULL,890165
76662,"Digidrive Distributors Ltd",DIGIDRIVE,544079
76663,"Silver Pearl Hospitality & Luxury Spaces Ltd",NULL,543536
76664,"Nifty Financial Services Ex-Bank",NIFTYFSEXB,76664
76665,"NIFTY Housing",NFTYHOUSNG,76665
76666,"Nifty India Defence",NIFINDDEFE,76666
76667,"NIFTY Mobility",NIFTYMOBIL,76667
76668,"Nifty Non-Cyclical Consumer",NIFTYNONCC,76668
76669,"Nifty Transportation & Logistics",NTYTRANLOG,76669
76674,"Jay Bee Laminations Ltd",JAYBEE,76674
76683,"Yatharth Hospital & Trauma Care Services Ltd",YATHARTH,543950
76686,"DCX Systems Ltd",DCXINDIA,543650
76723,"Kaynes Technology India Ltd",KAYNES,543664
76733,"Baazar Style Retail Ltd",STYLEBAAZA,544243
76743,"JFL Life Sciences Ltd",JFLLIFE,535469
76744,"Aristo Bio-Tech & Lifescience Ltd",ARISTO,76744
76745,"Sabar Flex India Ltd",SABAR,535473
76751,"Premier Energies Ltd",PREMIERENE,544238
76755,"Prismx Global Ventures Ltd Partly Paidup",NULL,890166
76761,"Fidel Softech Ltd",FIDEL,535450
76762,"ASM Technologies Ltd Partly Paidup",NULL,890167
76764,"Veerkrupa Jewellers Ltd",NULL,543545
76767,"Plaza Wires Ltd",PLAZACABLE,544003
76769,"Upsurge Seeds of Agriculture Ltd",USASEEDS,535459
76794,"Modis Navnirman Ltd",NULL,543539
76811,"Shipping Corporation of India Land & Assets Ltd",SCILAL,544142
76815,"QVC Exports Ltd",QVCEL,76815
76834,"Kesar India Ltd",NULL,543542
76836,"Aurum PropTech Ltd Partly Paidup",AURUMPP1,890168
76843,"Olatech Solutions Ltd",NULL,543578
76845,"Tierra Agrotech Ltd",NULL,543531
76859,"Sailani Tours N Travels Ltd",NULL,543541
76860,"Viviana Power Tech Ltd",VIVIANA,535471
76872,"Jay Jalaram Technologies Ltd",KORE,535465
76888,"Jayant Infratech Ltd",NULL,543544
76894,"B-Right RealEstate Ltd",NULL,543543
76895,"Healthy Life Agritec Ltd",NULL,543546
76989,"Paramatrix Technologies Ltd",PARAMATRIX,76989
77048,"OCCL Ltd",OCCLLTD,544278
77069,"Vilas Transcore Ltd",VILAS,77069
77085,"Krystal Integrated Services Ltd",KRYSTAL,544149
77112,"Dynemic Products Ltd Partly Paidup",DYNPROPP,890169
77114,"Kandarp Digi Smart BPO Ltd",KANDARP,535480
77118,"All E Technologies Ltd",ALLETEC,77118
77119,"Maagh Advertising & Marketing Services Ltd",NULL,543624
77120,"Mafia Trends Ltd",NULL,543613
77143,"Naturo Indiabull Ltd",NULL,543579
77163,"Concord Enviro Systems Ltd",CEWATER,544315
77164,"Arabian Petroleum Ltd",ARABIAN,77164
77165,"Cargosol Logistics Ltd",NULL,543621
77166,"Ishan International Ltd",ISHAN,535474
77175,"Varanium Cloud Ltd",CLOUD,535478
77225,"SignatureGlobal India Ltd",SIGNATURE,543990
77227,"Motilal Oswal S&P BSE Healthcare ETF",MOHEALTH,543563
77239,"Gopal Snacks Ltd",GOPAL,544140
77240,"Dipna Pharmachem Ltd",NULL,543594
77250,"Insolation Energy Ltd",NULL,543620
77253,"ICICI Prudential Nifty 200 Momentum 30 ETF",MOM30IETF,543568
77264,"Honasa Consumer Ltd",HONASA,544014
77271,"Annapurna Swadisht Ltd",ANNAPURNA,535477
77294,"Shantidoot Infra Services Ltd",NULL,543598
77335,"Aditya Birla Sun Life Nifty 200 Momentum 30 ETF",MOMENTUM,543575
77336,"Aditya Birla Sun Life Nifty 200 Quality 30 ETF",NIFTYQLITY,543574
77337,"Motilal Oswal S&P BSE Quality ETF Fund",MOQUALITY,543577
77338,"DSP Silver ETF",SILVERADD,543572
77339,"Motilal Oswal S&P BSE Enhanced Value ETF Fund",MOVALUE,543576
77340,"Vital Chemtech Ltd",VITAL,535490
77342,"Kotak Nifty MNC ETF",MNC,535460
77344,"Steelman Telecom Ltd",NULL,543622
77345,"Trident Lifeline Ltd",NULL,543616
77346,"Kotak Nifty India Consumption ETF",CONS,535457
77347,"Containe Technologies Ltd",NULL,543606
77451,"Auro Impex & Chemicals Ltd",AUROIMPEX,77451
77458,"HDFC Nifty Next 50 ETF",HDFCNEXT50,543570
77459,"HDFC Nifty 100 ETF",HDFCNIF100,543569
77460,"Avalon Technologies Ltd",AVALON,543896
77461,"Tapi Fruit Processing Ltd",TAPIFRUIT,535475
77462,"Rite Zone Chemcon India Ltd",RITEZONE,535489
77471,"Saboo Sodium Chloro Ltd Partly Paidup",NULL,890170
77572,"HDFC Silver ETF",HDFCSILVER,543592
77574,"Gayatri Rubbers and Chemicals Ltd",GRCL,77574
77617,"Reetech International Cargo & Courier Ltd",NULL,543617
77618,"ICICI Prudential Nifty Infrastructure ETF",INFRAIETF,543571
77627,"Tunwal E-Motors Ltd",TUNWAL,77627
77634,"Highways Infrastructure Trust",HIGHWAYS,535464
77741,"Gennex Laboratories Ltd Partly Paidup",NULL,890171
77746,"Axis Silver ETF",AXISILVER,535479
77757,"Manoj Jewellers Ltd",NULL,544400
77758,"Silicon Rental Solutions Ltd",NULL,543615
77759,"Quicktouch Technologies Ltd",QUICKTOUCH,77759
77761,"Blue Jet Healthcare Ltd",BLUEJET,544009
77795,"Maharashtra Corporation Ltd Partly Paidup",NULL,890172
77796,"Amanaya Ventures Ltd",NULL,543804
77804,"AWFIS Space Solutions Ltd",AWFIS,544181
77818,"HDFC Nifty 100 Quality 30 ETF",HDFCQUAL,543605
77819,"HDFC Nifty 50 Value 20 ETF",HDFCVALUE,543608
77820,"HDFC Nifty Growth Sectors 15 ETF",HDFCGROWTH,543607
77823,"Amiable Logistics India Ltd",AMIABLE,535491
77824,"Integrated Personnel Services Ltd",IPSL,535488
77825,"Aprameya Engineering Ltd",APRAMEYA,77825
77842,"Vedant Asset Ltd",NULL,543623
77843,"Pace E-Commerce Ventures Ltd",NULL,543637
77845,"Arham Technologies Ltd",ARHAM,77845
77846,"Jiwanram Sheoduttrai Industries Ltd",JIWANRAM,77846
77859,"Ambo Agritec Ltd",NULL,543678
77860,"Naturewings Holidays Ltd",NULL,544245
77863,"Cargotrans Maritime Ltd",NULL,543618
77867,"Rex Sealing & Packing Industries Ltd",NULL,543744
77868,"Concord Control Systems Ltd",NULL,543619
77869,"KCL Infra Projects Ltd Partly Paidup",NULL,890173
77872,"Technopack Polymers Ltd",NULL,543656
77873,"HDFC Nifty 200 Momentum 30 ETF",HDFCMOMENT,543628
77874,"HDFC Nifty 100 Low Volatility 30 ETF",HDFCLOWVOL,543627
77878,"Arihant Academy Ltd",ARIHANTACA,77878
77882,"Enviro Infra Engineers Ltd",EIEL,544290
77883,"Pritika Engineering Components Ltd",PRITIKA,77883
77884,"Udayshivakumar Infra Ltd",USK,543861
77885,"Maple Infrastructure Trust",NULL,543925
77886,"Dharni Capital Services Ltd",NULL,543753
77889,"BSE Services",NULL,1167
77890,"Vertexplus Technologies Ltd",VERTEXPLUS,77890
77891,"Anlon Technology Solutions Ltd",ANLON,77891
77892,"Vels Film International Ltd",VELS,77892
77893,"Motisons Jewellers Ltd",MOTISONS,544053
77897,"Logica Infoway Ltd",NULL,543746
77898,"IKIO Technologies Ltd",IKIO,543923
77901,"Tips Films Ltd",TIPSFILMS,543614
77903,"Chaman Metallics Ltd",CMNL,77903
77905,"Moxsh Overseas Educon Ltd",MOXSH,77905
77906,"Transvoy Logistics India Ltd",NULL,543754
77922,"Vikram Aroma Ltd",NULL,544371
77924,"Indef Manufacturing Ltd",BAJAJINDEF,544364
77927,"Coastal Corporation Ltd Partly Paidup",COASTPP1,890174
77929,"RBM Infracon Ltd",RBMINFRA,77929
77930,"Droneacharya Aerial Innovations Ltd",NULL,543713
77953,"Gautam Gems Ltd Partly Paidup",NULL,890175
77993,"HDFC Nifty IT ETF",HDFCNIFIT,543665
77994,"HDFC Nifty Private Bank ETF",HDFCPVTBAN,543666
78002,"SVS Ventures Ltd",NULL,543745
78003,"S. V. J. Enterprises Ltd",NULL,543799
78009,"Suzlon Energy Ltd Partly Paidup",SUZLONPP,890176
78027,"Virtual Galaxy Infotech Ltd",VGINFOTECH,78027
78033,"Forbes Precision Tools & Machine Parts Ltd",NULL,544186
78051,"Anzen India Energy Yield Plus Trust",ANZEN,543655
78062,"ICICI Prudential Nifty Financial Serv. Ex-Bank ETF",FINIETF,543677
78066,"Kotak Silver ETF",SILVER1,78066
78078,"Sahana Systems Ltd",SAHANA,78078
78079,"Ducol Organics & Colours Ltd",DUCOL,78079
78084,"Homesfy Realty Ltd",HOMESFY,78084
78117,"JHS Svendgaard Retail Ventures Ltd",RETAIL,544197
78134,"PNGS Gargi Fashion Jewellery Ltd",NULL,543709
78135,"Bharat Bond ETF - April 2033",EBBETF0433,543699
78215,"Viaz Tyres Ltd",VIAZ,78215
78230,"Shera Energy Ltd",SHERA,78230
78274,"Nifty200 Alpha30",NFTY200A30,78274
78275,"Nifty Midcap150 Momentum 50",NFMC150M50,78275
78289,"CFF Fluid Control Ltd",NULL,543920
78307,"ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF",GSEC10IETF,543700
78308,"Transwarranty Finance Ltd Partly Paidup",TFLPP,890177
78324,"Lead Reclaim and Rubber Products Ltd",LRRPL,78324
78328,"Rossell Techsys Ltd",ROSSTECH,544294
78334,"ICICI Prudential Nifty Commodities ETF",COMMOIETF,543710
78337,"Zaggle Prepaid Ocean Services Ltd",ZAGGLE,543985
78344,"DSP Nifty Bank ETF",BANKETFADD,543738
78345,"Resgen Ltd",NULL,543805
78346,"Kalyani Cast-Tech Ltd",NULL,544023
